119,8,55230411,100
120,9,55230411,88
121,10,55230411,60
122,11,55230411,67
123,1,55230412,65
124,2,55230412,79
125,3,55230412,78
126,4,55230412,79
127,5,55230412,61
128,6,55230412,98
129,7,55230412,87
130,8,55230412,94
131,9,55230412,85
132,10,55230412,82
133,11,55230412,96
134,1,55230413,95
135,2,55230413,86
136,3,55230413,81
137,4,55230413,55
138,5,55230413,93
139,6,55230413,61
140,7,55230413,84
141,8,55230413,69
142,9,55230413,66
143,10,55230413,65
144,11,55230413,64
145,1,55230414,59
146,2,55230414,81
147,3,55230414,93
148,4,55230414,98
149,5,55230414,85
150,6,55230414,79
151,7,55230414,90
152,8,55230414,57
153,9,55230414,77
154,10,55230414,89
155,11,55230414,91
156,1,55230415,70
157,2,55230415,80
158,3,55230415,80
159,4,55230415,54
160,5,55230415,95
161,6,55230415,91
162,7,55230415,80
163,8,55230415,85
164,9,55230415,84
165,10,55230415,99
166,11,55230415,65
167,1,55230416,98
168,2,55230416,84
169,3,55230416,72
170,4,55230416,77
171,5,55230416,73
172,6,55230416,94
173,7,55230416,63
174,8,55230416,76
175,9,55230416,91
176,10,55230416,86
177,11,55230416,51
178,1,55230417,58
179,2,55230417,97
180,3,55230417,67
181,4,55230417,83
182,5,55230417,74
183,6,55230417,64
184,7,55230417,71
185,8,55230417,84
186,9,55230417,100
187,10,55230417,99
188,11,55230417,81
189,1,55230418,88
190,2,55230418,51
191,3,55230418,81
192,4,55230418,89
193,5,55230418,69
194,6,55230418,59
195,7,55230418,52
196,8,55230418,82
197,9,55230418,92
198,10,55230418,77
199,11,55230418,65
200,1,55230419,69
201,2,55230419,50
202,3,55230419,54
203,4,55230419,77
204,5,55230419,62
205,6,55230419,56
206,7,55230419,97
207,8,55230419,81
208,9,55230419,60
209,10,55230419,72
210,11,55230419,62
211,1,55230420,77
212,2,55230420,76
213,3,55230420,73
214,4,55230420,51
215,5,55230420,80
216,6,55230420,64
217,7,55230420,59
218,8,55230420,76
219,9,55230420,82
220,10,55230420,63
221,11,55230420,98
222,1,55230421,99
223,2,55230421,59
224,3,55230421,57
225,4,55230421,90
226,5,55230421,93
227,6,55230421,66
228,7,55230421,63
229,8,55230421,94
230,9,55230421,91
231,10,55230421,60
232,11,55230421,64
233,1,55230422,93
234,2,55230422,60
235,3,55230422,95
236,4,55230422,84
237,5,55230422,66
238,6,55230422,99
239,7,55230422,56
240,8,55230422,84
241,9,55230422,93
242,10,55230422,77
243,11,55230422,51
244,1,55230423,74
245,2,55230423,72
246,3,55230423,95
247,4,55230423,65
248,5,55230423,86
249,6,55230423,87
250,7,55230423,59
251,8,55230423,67
252,9,55230423,59
253,10,55230423,84
254,11,55230423,88
255,1,55230424,71
256,2,55230424,78
257,3,55230424,65
258,4,55230424,91
259,5,55230424,54
260,6,55230424,67
261,7,55230424,67
262,8,55230424,56
263,9,55230424,99
264,10,55230424,60
265,11,55230424,84
266,1,55230425,89
267,2,55230425,99
268,3,55230425,82
269,4,55230425,82
270,5,55230425,99
271,6,55230425,81
272,7,55230425,79
273,8,55230425,86
274,9,55230425,60
275,10,55230425,62
276,11,55230425,99
277,1,55230426,68
278,2,55230426,100
279,3,55230426,79
280,4,55230426,56
281,5,55230426,90
282,6,55230426,66
283,7,55230426,76
284,8,55230426,52
285,9,55230426,68
286,10,55230426,56
287,11,55230426,62
288,1,55230427,82
289,2,55230427,55
290,3,55230427,61
291,4,55230427,74
292,5,55230427,57
293,6,55230427,53
294,7,55230427,91
295,8,55230427,98
296,9,55230427,80
297,10,55230427,80
298,11,55230427,51
299,1,55230428,71
300,2,55230428,63
301,3,55230428,70
302,4,55230428,76
303,5,55230428,77
304,6,55230428,60
305,7,55230428,61
306,8,55230428,61
307,9,55230428,67
308,10,55230428,52
309,11,55230428,98
310,1,55230429,83
311,2,55230429,99
312,3,55230429,96
313,4,55230429,54
314,5,55230429,66
315,6,55230429,60
316,7,55230429,94
317,8,55230429,61
318,9,55230429,96
319,10,55230429,64
320,11,55230429,70
321,1,55230430,85
322,2,55230430,65
323,3,55230430,95
324,4,55230430,59
325,5,55230430,59
326,6,55230430,50
327,7,55230430,90
328,8,55230430,95
329,9,55230430,83
330,10,55230430,97
331,11,55230430,86
332,1,55230431,88
333,2,55230431,77
334,3,55230431,91
335,4,55230431,68
336,5,55230431,84
337,6,55230431,100
338,7,55230431,76
339,8,55230431,50
340,9,55230431,55
341,10,55230431,59
342,11,55230431,86
343,1,55230432,82
344,2,55230432,57
345,3,55230432,66
346,4,55230432,67
347,5,55230432,74
348,6,55230432,50
349,7,55230432,67
350,8,55230432,96
351,9,55230432,59
352,10,55230432,55
353,11,55230432,89
